year,flower_date,flower_doy,avg_temp_march_c
1487,1487-04-03,93,9.6
1488,1488-04-12,103,6.6
1489,1489-04-10,100,7.4
1490,1490-04-07,97,8.3
1491,1491-04-17,107,5.4
1492,1492-04-17,108,5.2
1493,1493-04-10,100,7.4
1494,1494-04-16,106,5.7
1495,1495-04-04,94,9.3
1496,1496-04-06,97,8.3
1497,1497-04-18,108,5.2
1498,1498-04-07,97,8.3
1499,1499-04-21,111,4.3
1500,1500-04-07,97,8.3
1501,1501-04-13,103,6.6
1502,1502-04-25,115,3.2
1503,1503-04-18,108,5.2
1504,1504-04-23,114,3.5
1505,1505-04-16,106,5.7
1506,1506-04-16,106,5.7
1507,1507-04-18,108,5.2
1508,1508-04-20,111,4.3
1509,1509-04-12,102,6.9
1510,1510-04-20,110,4.6
1511,1511-04-21,111,4.3
1512,1512-04-18,109,4.9
1513,1513-04-20,110,4.6
1514,1514-04-15,105,6.0
1515,1515-04-21,111,4.3
1516,1516-04-13,104,6.3
1517,1517-04-16,106,5.7
1518,1518-04-25,115,3.2
1519,1519-04-21,111,4.3
1520,1520-04-14,105,6.0
1521,1521-04-17,107,5.4
1522,1522-04-13,103,6.6
1523,1523-04-19,109,4.9
1524,1524-04-18,109,4.9
1525,1525-04-14,104,6.3
1526,1526-04-23,113,3.8
1527,1527-04-15,105,6.0
1528,1528-04-15,106,5.7
1529,1529-04-17,107,5.4
1530,1530-04-17,107,5.4
1531,1531-04-13,103,6.6
1532,1532-04-17,108,5.2
1533,1533-04-21,111,4.3
1534,1534-04-18,108,5.2
1535,1535-04-05,95,8.9
1536,1536-04-17,108,5.2
1537,1537-04-18,108,5.2
1538,1538-04-22,112,4.1
1539,1539-04-30,120,2.0
1540,1540-05-01,122,1.5
1541,1541-04-19,109,4.9
1542,1542-04-12,102,6.9
1543,1543-04-29,119,2.2
1544,1544-04-16,107,5.4
1545,1545-04-07,97,8.3
1546,1546-04-22,112,4.1
1547,1547-04-14,104,6.3
1548,1548-04-27,118,2.5
1549,1549-04-27,117,2.7
1550,1550-04-21,111,4.3
1551,1551-04-19,109,4.9
1552,1552-04-13,104,6.3
1553,1553-04-29,119,2.2
1554,,,
1555,1555-04-11,101,7.2
1556,1556-04-29,120,2.0
1557,1557-04-03,93,9.6
1558,1558-04-21,111,4.3
1559,1559-04-06,96,8.6
1560,1560-04-09,100,7.4
1561,1561-04-12,102,6.9
1562,1562-04-09,99,7.7
1563,1563-04-09,99,7.7
1564,1564-04-18,109,4.9
1565,1565-04-24,114,3.5
1566,1566-04-07,97,8.3
1567,1567-04-18,108,5.2
1568,1568-04-15,106,5.7
1569,,,
1570,1570-04-22,112,4.1
1571,1571-04-18,108,5.2
1572,1572-04-16,107,5.4
1573,,,
1574,1574-04-08,98,8.0
1575,,,
1576,1576-04-18,109,4.9
1577,1577-04-10,100,7.4
1578,,,
1579,1579-04-12,102,6.9
1580,1580-04-06,97,8.3
1581,1581-04-15,105,6.0
1582,,,
1583,1583-04-18,108,5.2
1584,1584-04-15,106,5.7
1585,1585-04-15,105,6.0
1586,1586-04-16,106,5.7
1587,1587-04-15,105,6.0
1588,1588-04-15,106,5.7
1589,1589-04-15,105,6.0
1590,1590-04-12,102,6.9
1591,1591-04-04,94,9.3
1592,1592-04-07,98,8.0
1593,1593-04-23,113,3.8
1594,1594-04-03,93,9.6
1595,1595-04-21,111,4.3
1596,1596-04-13,104,6.3
1597,1597-04-24,114,3.5
1598,1598-04-20,110,4.6
1599,1599-04-13,103,6.6
1600,1600-04-10,101,7.2
1601,1601-04-03,93,9.6
1602,1602-04-17,107,5.4
1603,1603-04-09,99,7.7
1604,1604-04-04,95,8.9
1605,1605-04-15,105,6.0
1606,1606-04-16,106,5.7
1607,1607-04-20,110,4.6
1608,,,
1609,1609-04-18,108,5.2
1610,1610-04-20,110,4.6
1611,,,
1612,1612-03-27,87,11.5
1613,1613-04-16,106,5.7
1614,1614-04-13,103,6.6
1615,1615-04-20,110,4.6
1616,1616-05-01,122,1.5
1617,1617-04-17,107,5.4
1618,1618-04-12,102,6.9
1619,1619-04-03,93,9.6
1620,,,
1621,1621-04-19,109,4.9
1622,1622-04-16,106,5.7
1623,1623-04-23,113,3.8
1624,1624-04-21,112,4.1
1625,1625-04-05,95,8.9
1626,1626-04-10,100,7.4
1627,,,
1628,1628-04-13,104,6.3
1629,1629-04-22,112,4.1
1630,,,
1631,,,
1632,1632-04-13,104,6.3
1633,1633-04-08,98,8.0
1634,1634-04-06,96,8.6
1635,1635-04-07,97,8.3
1636,,,
1637,1637-04-15,105,6.0
1638,1638-04-15,105,6.0
1639,1639-04-18,108,5.2
1640,1640-04-12,103,6.6
1641,1641-04-27,117,2.7
1642,1642-04-24,114,3.5
1643,1643-04-24,114,3.5
1644,1644-04-14,105,6.0
1645,1645-04-09,99,7.7
1646,1646-03-28,87,11.5
1647,1647-04-22,112,4.1
1648,,,
1649,1649-04-14,104,6.3
1650,1650-04-12,102,6.9
1651,1651-04-17,107,5.4
1652,1652-04-16,107,5.4
1653,1653-04-22,112,4.1
1654,1654-04-14,104,6.3
1655,1655-04-14,104,6.3
1656,1656-04-12,103,6.6
1657,,,
1658,1658-04-18,108,5.2
1659,,,
1660,1660-04-20,111,4.3
1661,1661-04-03,93,9.6
1662,1662-04-20,110,4.6
1663,1663-04-15,105,6.0
1664,1664-04-14,105,6.0
1665,1665-04-22,112,4.1
1666,1666-04-18,108,5.2
1667,1667-04-22,112,4.1
1668,1668-04-19,110,4.6
1669,1669-04-14,104,6.3
1670,1670-04-12,102,6.9
1671,1671-04-26,116,3.0
1672,1672-04-21,112,4.1
1673,1673-04-15,105,6.0
1674,1674-04-25,115,3.2
1675,1675-04-21,111,4.3
1676,1676-04-12,103,6.6
1677,1677-04-06,96,8.6
1678,1678-04-19,109,4.9
1679,1679-04-24,114,3.5
1680,1680-04-18,109,4.9
1681,1681-04-20,110,4.6
1682,1682-04-14,104,6.3
1683,1683-04-18,108,5.2
1684,1684-04-27,118,2.5
1685,1685-04-16,106,5.7
1686,1686-04-14,104,6.3
1687,1687-04-14,104,6.3
1688,1688-04-23,114,3.5
1689,1689-04-07,97,8.3
1690,1690-04-03,93,9.6
1691,1691-04-13,103,6.6
1692,1692-04-18,109,4.9
1693,1693-04-17,107,5.4
1694,1694-04-19,109,4.9
1695,1695-04-30,120,2.0
1696,1696-04-23,114,3.5
1697,1697-04-21,111,4.3
1698,1698-04-11,101,7.2
1699,1699-04-07,97,8.3
1700,1700-04-26,116,3.0
1701,1701-04-22,112,4.1
1702,1702-04-26,116,3.0
1703,1703-04-13,103,6.6
1704,1704-04-22,113,3.8
1705,1705-04-19,109,4.9
1706,1706-04-25,115,3.2
1707,1707-04-21,111,4.3
1708,1708-04-12,103,6.6
1709,1709-04-16,106,5.7
1710,,,
1711,,,
1712,,,
1713,1713-04-14,104,6.3
1714,1714-04-18,108,5.2
1715,1715-04-17,107,5.4
1716,1716-04-19,110,4.6
1717,1717-04-08,98,8.0
1718,1718-04-12,102,6.9
1719,1719-04-12,102,6.9
1720,1720-04-23,114,3.5
1721,1721-04-05,95,8.9
1722,1722-04-10,100,7.4
1723,1723-04-14,104,6.3
1724,1724-04-08,99,7.7
1725,1725-04-16,106,5.7
1726,1726-04-26,116,3.0
1727,1727-04-22,112,4.1
1728,1728-04-13,104,6.3
1729,1729-04-15,105,6.0
1730,,,
1731,1731-04-14,104,6.3
1732,1732-04-17,108,5.2
1733,1733-04-17,107,5.4
1734,1734-04-12,102,6.9
1735,1735-04-11,101,7.2
1736,1736-04-15,106,5.7
